"Population by Educational Attainment","Number"
"Beginners",""
"Female","286"
"Male","327"
"Graduate and Equivalent",""
"Female","54"
"Male","138"
"Intermediate and Equivalent",""
"Female","253"
"Male","272"
"Level not Stated",""
"Female","3"
"Male","7"
"Lower Secondary (Class 6-8)",""
"Female","1659"
"Male","1269"
"Non Formal Education",""
"Female","525"
"Male","449"
"Others",""
"Female","1"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","75"
"Primary Education (1-5 Class)",""
"Female","2620"
"Male","2227"
"Secondary Level (Class 9-10)",""
"Female","875"
"Male","647"
"SLC and Equivalent",""
"Female","731"
"Male","687"
