"Population by Single Year of Age","Number"
"0",""
"Female","106"
"Male","154"
"1",""
"Female","135"
"Male","162"
"10",""
"Female","267"
"Male","271"
"11",""
"Female","213"
"Male","251"
"12",""
"Female","270"
"Male","280"
"13",""
"Female","300"
"Male","234"
"14",""
"Female","269"
"Male","212"
"15",""
"Female","289"
"Male","228"
"16",""
"Female","233"
"Male","190"
"17",""
"Female","253"
"Male","159"
"18",""
"Female","253"
"Male","164"
"19",""
"Female","178"
"Male","107"
"2",""
"Female","171"
"Male","149"
"20",""
"Female","221"
"Male","91"
"21",""
"Female","170"
"Male","84"
"22",""
"Female","210"
"Male","89"
"23",""
"Female","183"
"Male","52"
"24",""
"Female","178"
"Male","52"
"25",""
"Female","193"
"Male","79"
"26",""
"Female","146"
"Male","53"
"27",""
"Female","151"
"Male","60"
"28",""
"Female","168"
"Male","77"
"29",""
"Female","108"
"Male","52"
"3",""
"Female","154"
"Male","169"
"30",""
"Female","173"
"Male","81"
"31",""
"Female","103"
"Male","52"
"32",""
"Female","139"
"Male","60"
"33",""
"Female","105"
"Male","61"
"34",""
"Female","107"
"Male","39"
"35",""
"Female","209"
"Male","83"
"36",""
"Female","90"
"Male","43"
"37",""
"Female","112"
"Male","53"
"38",""
"Female","132"
"Male","62"
"39",""
"Female","116"
"Male","74"
"4",""
"Female","190"
"Male","210"
"40",""
"Female","213"
"Male","108"
"41",""
"Female","72"
"Male","63"
"42",""
"Female","129"
"Male","76"
"43",""
"Female","101"
"Male","67"
"44",""
"Female","85"
"Male","48"
"45",""
"Female","154"
"Male","91"
"46",""
"Female","105"
"Male","52"
"47",""
"Female","87"
"Male","58"
"48",""
"Female","88"
"Male","85"
"49",""
"Female","86"
"Male","89"
"5",""
"Female","220"
"Male","237"
"50",""
"Female","186"
"Male","104"
"51",""
"Female","92"
"Male","56"
"52",""
"Female","88"
"Male","67"
"53",""
"Female","82"
"Male","81"
"54",""
"Female","76"
"Male","56"
"55",""
"Female","128"
"Male","78"
"56",""
"Female","92"
"Male","47"
"57",""
"Female","78"
"Male","60"
"58",""
"Female","82"
"Male","62"
"59",""
"Female","81"
"Male","68"
"6",""
"Female","177"
"Male","199"
"60",""
"Female","166"
"Male","87"
"61",""
"Female","69"
"Male","73"
"62",""
"Female","71"
"Male","75"
"63",""
"Female","50"
"Male","48"
"64",""
"Female","49"
"Male","44"
"65",""
"Female","83"
"Male","61"
"66",""
"Female","45"
"Male","39"
"67",""
"Female","68"
"Male","60"
"68",""
"Female","77"
"Male","80"
"69",""
"Female","36"
"Male","43"
"7",""
"Female","217"
"Male","241"
"70",""
"Female","84"
"Male","78"
"71",""
"Female","35"
"Male","30"
"72",""
"Female","35"
"Male","63"
"73",""
"Female","28"
"Male","39"
"74",""
"Female","15"
"Male","25"
"75",""
"Female","53"
"Male","46"
"76",""
"Female","21"
"Male","22"
"77",""
"Female","26"
"Male","28"
"78",""
"Female","33"
"Male","29"
"79",""
"Female","27"
"Male","18"
"8",""
"Female","217"
"Male","235"
"80",""
"Female","31"
"Male","29"
"81",""
"Female","17"
"Male","14"
"82",""
"Female","17"
"Male","17"
"83",""
"Female","10"
"Male","16"
"84",""
"Female","10"
"Male","20"
"85",""
"Female","58"
"Male","62"
"9",""
"Female","246"
"Male","208"
