"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","51"
"","85"
"Deaf/hard of hearing",""
"Female","28"
"Male","39"
"","67"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","7"
"Male","13"
"","20"
"Mental disable",""
"Female","3"
"Male","26"
"","29"
"Multiple disable",""
"Female","17"
"Male","11"
"","28"
"No disability",""
"Female","14097"
"Male","14997"
"","29094"
"Physical",""
"Female","58"
"Male","109"
"","167"
"Speech problem",""
"Female","13"
"Male","33"
"","46"
