"Population by disability type","Number"
"Blind/low vision",""
"Female","4332"
"Male","4211"
"","8543"
"Deaf/hard of hearing",""
"Female","4285"
"Male","4877"
"","9162"
"Deaf-Blind",""
"Female","354"
"Male","388"
"","742"
"Intellectual disable",""
"Female","378"
"Male","483"
"","861"
"Mental disable",""
"Female","852"
"Male","923"
"","1775"
"Multiple disable",""
"Female","1411"
"Male","1574"
"","2985"
"No disability",""
"Female","779046"
"Male","727195"
"","1506241"
"Physical",""
"Female","8825"
"Male","11755"
"","20580"
"Speech problem",""
"Female","1818"
"Male","2535"
"","4353"
