"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","53"
"","106"
"Deaf/hard of hearing",""
"Female","72"
"Male","75"
"","147"
"Deaf-Blind",""
"Female","8"
"Male","6"
"","14"
"Intellectual disable",""
"Female","15"
"Male","12"
"","27"
"Mental disable",""
"Female","35"
"Male","30"
"","65"
"Multiple disable",""
"Female","40"
"Male","63"
"","103"
"No disability",""
"Female","15144"
"Male","12715"
"","27859"
"Physical",""
"Female","125"
"Male","137"
"","262"
"Speech problem",""
"Female","58"
"Male","67"
"","125"
