"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","14"
"Male","8"
"Baraee",""
"Female","48"
"Male","73"
"Bin",""
"Female","349"
"Male","350"
"Brahman - Hill",""
"Female","256"
"Male","238"
"Brahman - Tarai",""
"Female","51"
"Male","48"
"Chamar/ Harijan/ Ram",""
"Female","541"
"Male","634"
"Chepang /Praja",""
"Female","14"
"Male","8"
"Chhetri",""
"Female","136"
"Male","128"
"Dalit Others",""
"Female","82"
"Male","81"
"Damai/Dholi",""
"Female","36"
"Male","28"
"Dhanuk",""
"Female","26"
"Male","33"
"Dhobi",""
"Female","45"
"Male","40"
"Dhunia",""
"Female","38"
"Male","39"
"Dom",""
"Female","16"
"Male","19"
"Dusadh/ Pasawan/ Pasi",""
"Female","389"
"Male","396"
"Hajam/Thakur",""
"Female","60"
"Male","52"
"Halkhor",""
"Female","20"
"Male","29"
"Jhangad/ Dhagar",""
"Female","149"
"Male","159"
"Kalwar",""
"Female","74"
"Male","72"
"Kami",""
"Female","29"
"Male","17"
"Kanu",""
"Female","164"
"Male","180"
"Kathabaniyan",""
"Female","99"
"Male","100"
"Kayastha",""
"Female","10"
"Male","10"
"Kewat",""
"Female","32"
"Male","29"
"Koiri/Kushwaha",""
"Female","191"
"Male","211"
"Kumal",""
"Female","10"
"Male","11"
"Kumhar",""
"Female","18"
"Male","19"
"Kurmi",""
"Female","191"
"Male","187"
"Lohar",""
"Female","68"
"Male","82"
"Magar",""
"Female","159"
"Male","168"
"Majhi",""
"Female","37"
"Male","36"
"Mali",""
"Female","17"
"Male","20"
"Mallaha",""
"Female","161"
"Male","212"
"Marwadi",""
"Female","11"
"Male","7"
"Musahar",""
"Female","961"
"Male","949"
"Musalman",""
"Female","1619"
"Male","1643"
"Natuwa",""
"Female","47"
"Male","46"
"Newar",""
"Female","14"
"Male","5"
"Nuniya",""
"Female","149"
"Male","152"
"Others",""
"Female","31"
"Male","30"
"Rai",""
"Female","28"
"Male","23"
"Rajput",""
"Female","15"
"Male","17"
"Sanyasi/Dasnami",""
"Female","88"
"Male","84"
"Sonar",""
"Female","45"
"Male","51"
"Sunuwar",""
"Female","72"
"Male","80"
"Tamang",""
"Female","60"
"Male","69"
"Teli",""
"Female","281"
"Male","255"
"Terai Others",""
"Female","239"
"Male","260"
"Thakuri",""
"Female","8"
"Male","14"
"Tharu",""
"Female","4181"
"Male","4148"
"Yadav",""
"Female","384"
"Male","468"
"Yakkha",""
"Female","58"
"Male","62"
