"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","45"
"","88"
"Deaf/hard of hearing",""
"Female","42"
"Male","35"
"","77"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","10"
"Male","10"
"","20"
"Mental disable",""
"Female","8"
"Male","16"
"","24"
"Multiple disable",""
"Female","31"
"Male","33"
"","64"
"No disability",""
"Female","11981"
"Male","10298"
"","22279"
"Physical",""
"Female","123"
"Male","163"
"","286"
"Speech problem",""
"Female","28"
"Male","42"
"","70"
