"Population by disability type","Number"
"Blind/low vision",""
"Female","141"
"Male","100"
"","241"
"Deaf/hard of hearing",""
"Female","108"
"Male","107"
"","215"
"Deaf-Blind",""
"Female","7"
"Male","10"
"","17"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","20"
"Male","23"
"","43"
"Multiple disable",""
"Female","23"
"Male","20"
"","43"
"No disability",""
"Female","10669"
"Male","9880"
"","20549"
"Physical",""
"Female","180"
"Male","195"
"","375"
"Speech problem",""
"Female","27"
"Male","43"
"","70"
