"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","17"
"","45"
"Deaf/hard of hearing",""
"Female","12"
"Male","14"
"","26"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","4"
"Male","8"
"","12"
"Mental disable",""
"Female","10"
"Male","8"
"","18"
"Multiple disable",""
"Female","4"
"Male","11"
"","15"
"No disability",""
"Female","6529"
"Male","5231"
"","11760"
"Physical",""
"Female","44"
"Male","61"
"","105"
"Speech problem",""
"Female","12"
"Male","14"
"","26"
