"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","35"
"Male","20"
"Bote",""
"Female","17"
"Male","8"
"Brahman - Hill",""
"Female","2455"
"Male","1650"
"Chhetri",""
"Female","4086"
"Male","2667"
"Damai/Dholi",""
"Female","545"
"Male","386"
"Gaine",""
"Female","26"
"Male","9"
"Gharti/Bhujel",""
"Female","24"
"Male","24"
"Gurung",""
"Female","115"
"Male","64"
"Kami",""
"Female","2656"
"Male","1845"
"Kumal",""
"Female","5"
"Male","10"
"Magar",""
"Female","6906"
"Male","5191"
"Musalman",""
"Female","8"
"Male","9"
"Newar",""
"Female","198"
"Male","160"
"Others",""
"Female","14"
"Male","8"
"Sanyasi/Dasnami",""
"Female","210"
"Male","175"
"Sarki",""
"Female","777"
"Male","491"
"Tamang",""
"Female","6"
"Male","9"
"Thakuri",""
"Female","70"
"Male","43"
"Tharu",""
"Female","2"
"Male","16"
