"Population by disability type","Number"
"Blind/low vision",""
"Female","138"
"Male","76"
"","214"
"Deaf/hard of hearing",""
"Female","70"
"Male","69"
"","139"
"Deaf-Blind",""
"Female","5"
"Male","7"
"","12"
"Intellectual disable",""
"Female","8"
"Male","12"
"","20"
"Mental disable",""
"Female","19"
"Male","17"
"","36"
"Multiple disable",""
"Female","28"
"Male","16"
"","44"
"No disability",""
"Female","13326"
"Male","9787"
"","23113"
"Physical",""
"Female","159"
"Male","132"
"","291"
"Speech problem",""
"Female","29"
"Male","47"
"","76"
