"Population by Mother tongue","Number"
"Achhami",""
"Female","77853"
"Male","64278"
"Assami",""
"Female","12"
"Male","7"
"Avadhi",""
"Female","51"
"Male","63"
"Baitadeli",""
"Female","144253"
"Male","126792"
"Bajhangi",""
"Female","36071"
"Male","31203"
"Bajureli",""
"Female","5672"
"Male","4926"
"Bangla",""
"Female","68"
"Male","91"
"Baram",""
"Female","23"
"Male","5"
"Bhojpuri",""
"Female","598"
"Male","640"
"Bhujel",""
"Female","19"
"Male","14"
"Bote",""
"Female","143"
"Male","148"
"Byansi",""
"Female","180"
"Male","174"
"Chamling",""
"Female","26"
"Male","19"
"Chinese",""
"Female","3"
"Male","11"
"Dadeldhuri",""
"Female","241"
"Male","227"
"Dailekhi",""
"Female","1633"
"Male","1437"
"Darchuleli",""
"Female","3003"
"Male","2736"
"Dhuleli",""
"Female","173"
"Male","165"
"Doteli",""
"Female","414226"
"Male","357069"
"Dzonkha",""
"Female","6"
"Male","5"
"English",""
"Female","6"
"Male","5"
"Gurung",""
"Female","560"
"Male","466"
"Hindi",""
"Female","3673"
"Male","4415"
"Jumli",""
"Female","413"
"Male","367"
"Kham",""
"Female","1312"
"Male","1305"
"Khamchi (Raute)",""
"Female","172"
"Male","197"
"Khash",""
"Female","63"
"Male","53"
"Lapcha",""
"Female","345"
"Male","290"
"Limbu",""
"Female","29"
"Male","28"
"Magar",""
"Female","11553"
"Male","11242"
"Maithili",""
"Female","4041"
"Male","4574"
"Majhi",""
"Female","36"
"Male","37"
"Meche",""
"Female","20"
"Male","17"
"Nepali",""
"Female","397449"
"Male","360866"
"Newar",""
"Female","720"
"Male","674"
"Not Reported",""
"Female","424"
"Male","386"
"Others",""
"Female","1966"
"Male","2141"
"Pahari",""
"Female","13"
"Male","9"
"Punjabi",""
"Female","52"
"Male","53"
"Rai",""
"Female","90"
"Male","89"
"Rajbanshi",""
"Female","11"
"Male","10"
"Raji",""
"Female","1022"
"Male","956"
"Rajsthani",""
"Female","37"
"Male","52"
"Santhali",""
"Female","33"
"Male","21"
"Sherpa",""
"Female","477"
"Male","457"
"Sign Language",""
"Female","162"
"Male","150"
"Sonaha",""
"Female","32"
"Male","30"
"Surel",""
"Female","75"
"Male","75"
"Tamang",""
"Female","4190"
"Male","3578"
"Thakali",""
"Female","24"
"Male","21"
"Tharu",""
"Female","218360"
"Male","214700"
"Tibetan",""
"Female","6"
"Male","6"
"Uranw/Urau",""
"Female","61"
"Male","60"
"Urdu",""
"Female","981"
"Male","986"
