"Population by Educational Attainment","Number"
"Beginners",""
"Female","398"
"Male","529"
"Graduate and Equivalent",""
"Female","16"
"Male","130"
"Intermediate and Equivalent",""
"Female","156"
"Male","358"
"Level not Stated",""
"Female","6"
"Male","9"
"Lower Secondary (Class 6-8)",""
"Female","682"
"Male","1187"
"Non Formal Education",""
"Female","17"
"Male","35"
"Others",""
"Female","1"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","77"
"Primary Education (1-5 Class)",""
"Female","2007"
"Male","2626"
"Secondary Level (Class 9-10)",""
"Female","254"
"Male","584"
"SLC and Equivalent",""
"Female","215"
"Male","502"
