"Population by disability type","Number"
"Blind/low vision",""
"Female","108"
"Male","94"
"","202"
"Deaf/hard of hearing",""
"Female","76"
"Male","80"
"","156"
"Deaf-Blind",""
"Female","6"
"Male","9"
"","15"
"Intellectual disable",""
"Female","15"
"Male","25"
"","40"
"Mental disable",""
"Female","18"
"Male","36"
"","54"
"Multiple disable",""
"Female","31"
"Male","32"
"","63"
"No disability",""
"Female","25149"
"Male","21788"
"","46937"
"Physical",""
"Female","127"
"Male","170"
"","297"
"Speech problem",""
"Female","42"
"Male","62"
"","104"
