"Population by Educational Attainment","Number"
"Beginners",""
"Female","155"
"Male","196"
"Graduate and Equivalent",""
"Female","48"
"Male","184"
"Intermediate and Equivalent",""
"Female","223"
"Male","510"
"Level not Stated",""
"Female","74"
"Male","80"
"Lower Secondary (Class 6-8)",""
"Female","1432"
"Male","2085"
"Non Formal Education",""
"Female","56"
"Male","102"
"Others",""
"Female","7"
"Male","13"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","33"
"Primary Education (1-5 Class)",""
"Female","4258"
"Male","5118"
"Secondary Level (Class 9-10)",""
"Female","506"
"Male","1170"
"SLC and Equivalent",""
"Female","435"
"Male","919"
