"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","26"
"Male","19"
"Badhaee",""
"Female","44"
"Male","45"
"Bantar/Sardar",""
"Female","1470"
"Male","1136"
"Baraee",""
"Female","352"
"Male","329"
"Bin",""
"Female","40"
"Male","31"
"Brahman - Hill",""
"Female","131"
"Male","103"
"Brahman - Tarai",""
"Female","186"
"Male","195"
"Chamar/ Harijan/ Ram",""
"Female","1361"
"Male","1137"
"Chhetri",""
"Female","50"
"Male","54"
"Damai/Dholi",""
"Female","25"
"Male","32"
"Danuwar",""
"Female","457"
"Male","431"
"Dhanuk",""
"Female","1103"
"Male","992"
"Dhobi",""
"Female","141"
"Male","152"
"Dhunia",""
"Female","60"
"Male","57"
"Dom",""
"Female","34"
"Male","27"
"Dusadh/ Pasawan/ Pasi",""
"Female","669"
"Male","515"
"Gaderi/Bhedihar",""
"Female","16"
"Male","11"
"Gharti/Bhujel",""
"Female","34"
"Male","27"
"Gurung",""
"Female","5"
"Male","7"
"Hajam/Thakur",""
"Female","255"
"Male","236"
"Halwai",""
"Female","247"
"Male","211"
"Kalwar",""
"Female","256"
"Male","214"
"Kami",""
"Female","155"
"Male","154"
"Kanu",""
"Female","163"
"Male","140"
"Kathabaniyan",""
"Female","161"
"Male","136"
"Kayastha",""
"Female","68"
"Male","69"
"Kewat",""
"Female","247"
"Male","211"
"Khatwe",""
"Female","463"
"Male","390"
"Koiri/Kushwaha",""
"Female","740"
"Male","791"
"Kumal",""
"Female","71"
"Male","77"
"Kurmi",""
"Female","336"
"Male","277"
"Lohar",""
"Female","113"
"Male","121"
"Mali",""
"Female","46"
"Male","33"
"Mallaha",""
"Female","35"
"Male","28"
"Musahar",""
"Female","2613"
"Male","2470"
"Musalman",""
"Female","3181"
"Male","2553"
"Newar",""
"Female","118"
"Male","110"
"Nuniya",""
"Female","162"
"Male","144"
"Others",""
"Female","38"
"Male","7"
"Punjabi/Sikh",""
"Female","9"
"Male","3"
"Rajput",""
"Female","20"
"Male","8"
"Sanyasi/Dasnami",""
"Female","69"
"Male","78"
"Satar/ Santhal",""
"Female","23"
"Male","22"
"Sonar",""
"Female","205"
"Male","209"
"Sudhi",""
"Female","283"
"Male","229"
"Sunuwar",""
"Female","9"
"Male","9"
"Tatma/Tatwa",""
"Female","281"
"Male","230"
"Teli",""
"Female","1158"
"Male","1041"
"Terai Others",""
"Female","119"
"Male","101"
"Tharu",""
"Female","3767"
"Male","3405"
"Undefined Others",""
"Female","7"
"Male","8"
"Yadav",""
"Female","3140"
"Male","2968"
"Yakkha",""
"Female","5"
"Male","7"
