"Population by Educational Attainment","Number"
"Beginners",""
"Female","327"
"Male","362"
"Graduate and Equivalent",""
"Female","12"
"Male","30"
"Intermediate and Equivalent",""
"Female","91"
"Male","141"
"Level not Stated",""
"Female","17"
"Male","11"
"Lower Secondary (Class 6-8)",""
"Female","714"
"Male","841"
"Non Formal Education",""
"Female","70"
"Male","24"
"Others",""
"Female","2"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","3"
"Primary Education (1-5 Class)",""
"Female","1579"
"Male","1993"
"Secondary Level (Class 9-10)",""
"Female","287"
"Male","375"
"SLC and Equivalent",""
"Female","116"
"Male","207"
