"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","22"
"","44"
"Deaf/hard of hearing",""
"Female","22"
"Male","16"
"","38"
"Deaf-Blind",""
"Female","0"
"Male","5"
"","5"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","13"
"Male","9"
"","22"
"Multiple disable",""
"Female","11"
"Male","8"
"","19"
"No disability",""
"Female","8944"
"Male","7514"
"","16458"
"Physical",""
"Female","60"
"Male","71"
"","131"
"Speech problem",""
"Female","21"
"Male","30"
"","51"
