"Population by Educational Attainment","Number"
"Beginners",""
"Female","950"
"Male","1092"
"Graduate and Equivalent",""
"Female","313"
"Male","465"
"Intermediate and Equivalent",""
"Female","1141"
"Male","1108"
"Level not Stated",""
"Female","83"
"Male","81"
"Lower Secondary (Class 6-8)",""
"Female","5198"
"Male","4823"
"Non Formal Education",""
"Female","667"
"Male","404"
"Others",""
"Female","12"
"Male","16"
"Post Graduate Equivalent and Above",""
"Female","53"
"Male","179"
"Primary Education (1-5 Class)",""
"Female","7974"
"Male","8473"
"Secondary Level (Class 9-10)",""
"Female","3273"
"Male","2956"
"SLC and Equivalent",""
"Female","1769"
"Male","1852"
