"Population by Single Year of Age","Number"
"0",""
"Female","447"
"Male","503"
"1",""
"Female","398"
"Male","442"
"10",""
"Female","811"
"Male","885"
"11",""
"Female","701"
"Male","736"
"12",""
"Female","918"
"Male","895"
"13",""
"Female","804"
"Male","727"
"14",""
"Female","874"
"Male","833"
"15",""
"Female","732"
"Male","723"
"16",""
"Female","859"
"Male","775"
"17",""
"Female","752"
"Male","631"
"18",""
"Female","877"
"Male","812"
"19",""
"Female","593"
"Male","434"
"2",""
"Female","457"
"Male","507"
"20",""
"Female","824"
"Male","574"
"21",""
"Female","626"
"Male","415"
"22",""
"Female","791"
"Male","493"
"23",""
"Female","603"
"Male","366"
"24",""
"Female","652"
"Male","362"
"25",""
"Female","876"
"Male","484"
"26",""
"Female","642"
"Male","349"
"27",""
"Female","602"
"Male","319"
"28",""
"Female","730"
"Male","512"
"29",""
"Female","383"
"Male","245"
"3",""
"Female","479"
"Male","486"
"30",""
"Female","951"
"Male","535"
"31",""
"Female","311"
"Male","231"
"32",""
"Female","528"
"Male","392"
"33",""
"Female","376"
"Male","207"
"34",""
"Female","375"
"Male","264"
"35",""
"Female","782"
"Male","577"
"36",""
"Female","376"
"Male","279"
"37",""
"Female","306"
"Male","188"
"38",""
"Female","452"
"Male","338"
"39",""
"Female","202"
"Male","176"
"4",""
"Female","531"
"Male","580"
"40",""
"Female","847"
"Male","606"
"41",""
"Female","230"
"Male","161"
"42",""
"Female","362"
"Male","263"
"43",""
"Female","255"
"Male","175"
"44",""
"Female","205"
"Male","157"
"45",""
"Female","575"
"Male","509"
"46",""
"Female","241"
"Male","211"
"47",""
"Female","172"
"Male","148"
"48",""
"Female","328"
"Male","285"
"49",""
"Female","181"
"Male","157"
"5",""
"Female","595"
"Male","663"
"50",""
"Female","603"
"Male","525"
"51",""
"Female","152"
"Male","178"
"52",""
"Female","229"
"Male","261"
"53",""
"Female","166"
"Male","137"
"54",""
"Female","173"
"Male","164"
"55",""
"Female","390"
"Male","357"
"56",""
"Female","208"
"Male","182"
"57",""
"Female","146"
"Male","146"
"58",""
"Female","219"
"Male","206"
"59",""
"Female","139"
"Male","128"
"6",""
"Female","614"
"Male","612"
"60",""
"Female","514"
"Male","438"
"61",""
"Female","135"
"Male","151"
"62",""
"Female","169"
"Male","155"
"63",""
"Female","99"
"Male","119"
"64",""
"Female","139"
"Male","138"
"65",""
"Female","297"
"Male","301"
"66",""
"Female","94"
"Male","84"
"67",""
"Female","85"
"Male","93"
"68",""
"Female","139"
"Male","150"
"69",""
"Female","58"
"Male","70"
"7",""
"Female","602"
"Male","665"
"70",""
"Female","233"
"Male","244"
"71",""
"Female","53"
"Male","64"
"72",""
"Female","78"
"Male","98"
"73",""
"Female","51"
"Male","73"
"74",""
"Female","49"
"Male","50"
"75",""
"Female","136"
"Male","111"
"76",""
"Female","40"
"Male","64"
"77",""
"Female","36"
"Male","36"
"78",""
"Female","64"
"Male","59"
"79",""
"Female","28"
"Male","28"
"8",""
"Female","728"
"Male","734"
"80",""
"Female","82"
"Male","78"
"81",""
"Female","14"
"Male","21"
"82",""
"Female","22"
"Male","28"
"83",""
"Female","15"
"Male","27"
"84",""
"Female","20"
"Male","18"
"85",""
"Female","108"
"Male","93"
"9",""
"Female","604"
"Male","636"
