"Population by disability type","Number"
"Blind/low vision",""
"Female","54"
"Male","52"
"","106"
"Deaf/hard of hearing",""
"Female","90"
"Male","79"
"","169"
"Deaf-Blind",""
"Female","2"
"Male","7"
"","9"
"Intellectual disable",""
"Female","24"
"Male","20"
"","44"
"Mental disable",""
"Female","24"
"Male","29"
"","53"
"Multiple disable",""
"Female","33"
"Male","30"
"","63"
"No disability",""
"Female","19551"
"Male","14958"
"","34509"
"Physical",""
"Female","126"
"Male","171"
"","297"
"Speech problem",""
"Female","54"
"Male","92"
"","146"
