"Population by Educational Attainment","Number"
"Beginners",""
"Female","587"
"Male","653"
"","1240"
"Graduate and Equivalent",""
"Female","131"
"Male","222"
"","353"
"Intermediate and Equivalent",""
"Female","479"
"Male","632"
"","1111"
"Level not Stated",""
"Female","42"
"Male","50"
"","92"
"Lower Secondary (Class 6-8)",""
"Female","3127"
"Male","3090"
"","6217"
"Non Formal Education",""
"Female","783"
"Male","797"
"","1580"
"Others",""
"Female","20"
"Male","19"
"","39"
"Post Graduate Equivalent and Above",""
"Female","15"
"Male","66"
"","81"
"Primary Education (1-5 Class)",""
"Female","5399"
"Male","6199"
"","11598"
"Secondary Level (Class 9-10)",""
"Female","1395"
"Male","1389"
"","2784"
"SLC and Equivalent",""
"Female","997"
"Male","1196"
"","2193"
