"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","49"
"","83"
"Deaf/hard of hearing",""
"Female","43"
"Male","57"
"","100"
"Deaf-Blind",""
"Female","7"
"Male","7"
"","14"
"Intellectual disable",""
"Female","11"
"Male","21"
"","32"
"Mental disable",""
"Female","23"
"Male","24"
"","47"
"Multiple disable",""
"Female","29"
"Male","23"
"","52"
"No disability",""
"Female","22725"
"Male","19224"
"","41949"
"Physical",""
"Female","66"
"Male","141"
"","207"
"Speech problem",""
"Female","62"
"Male","57"
"","119"
