"Population by Educational Attainment","Number"
"Beginners",""
"Female","571"
"Male","672"
"","1243"
"Graduate and Equivalent",""
"Female","275"
"Male","372"
"","647"
"Intermediate and Equivalent",""
"Female","1072"
"Male","1034"
"","2106"
"Level not Stated",""
"Female","57"
"Male","47"
"","104"
"Lower Secondary (Class 6-8)",""
"Female","3499"
"Male","3088"
"","6587"
"Non Formal Education",""
"Female","869"
"Male","709"
"","1578"
"Others",""
"Female","1"
"Male","0"
"","1"
"Post Graduate Equivalent and Above",""
"Female","44"
"Male","163"
"","207"
"Primary Education (1-5 Class)",""
"Female","5481"
"Male","5652"
"","11133"
"Secondary Level (Class 9-10)",""
"Female","2060"
"Male","1876"
"","3936"
"SLC and Equivalent",""
"Female","1522"
"Male","1539"
"","3061"
