"Population by disability type","Number"
"Blind/low vision",""
"Female","35"
"Male","37"
"","72"
"Deaf/hard of hearing",""
"Female","28"
"Male","17"
"","45"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","5"
"Male","7"
"","12"
"Mental disable",""
"Female","19"
"Male","26"
"","45"
"Multiple disable",""
"Female","14"
"Male","14"
"","28"
"No disability",""
"Female","11817"
"Male","10752"
"","22569"
"Physical",""
"Female","44"
"Male","65"
"","109"
"Speech problem",""
"Female","6"
"Male","16"
"","22"
