"Population by disability type","Number"
"Blind/low vision",""
"Female","84"
"Male","69"
"","153"
"Deaf/hard of hearing",""
"Female","36"
"Male","38"
"","74"
"Deaf-Blind",""
"Female","15"
"Male","14"
"","29"
"Intellectual disable",""
"Female","4"
"Male","7"
"","11"
"Mental disable",""
"Female","30"
"Male","17"
"","47"
"Multiple disable",""
"Female","12"
"Male","21"
"","33"
"No disability",""
"Female","22213"
"Male","22430"
"","44643"
"Physical",""
"Female","54"
"Male","100"
"","154"
"Speech problem",""
"Female","20"
"Male","37"
"","57"
