"Population by Educational Attainment","Number"
"Beginners",""
"Female","325"
"Male","388"
"","713"
"Graduate and Equivalent",""
"Female","26"
"Male","115"
"","141"
"Intermediate and Equivalent",""
"Female","122"
"Male","340"
"","462"
"Level not Stated",""
"Female","17"
"Male","25"
"","42"
"Lower Secondary (Class 6-8)",""
"Female","1070"
"Male","2776"
"","3846"
"Non Formal Education",""
"Female","85"
"Male","109"
"","194"
"Others",""
"Female","24"
"Male","15"
"","39"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","28"
"","31"
"Primary Education (1-5 Class)",""
"Female","5244"
"Male","7004"
"","12248"
"Secondary Level (Class 9-10)",""
"Female","365"
"Male","1160"
"","1525"
"SLC and Equivalent",""
"Female","165"
"Male","356"
"","521"
