"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","18"
"Bahing",""
"Female","8"
"Male","9"
"Baitadeli",""
"Female","13"
"Male","16"
"Bajjika",""
"Female","3"
"Male","8"
"Bangla",""
"Female","8"
"Male","15"
"Bantawa",""
"Female","17"
"Male","13"
"Bhojpuri",""
"Female","130"
"Male","381"
"Chamling",""
"Female","89"
"Male","64"
"Dhimal",""
"Female","5"
"Male","6"
"Doteli",""
"Female","37"
"Male","71"
"English",""
"Female","10"
"Male","12"
"Gurung",""
"Female","77"
"Male","58"
"Hindi",""
"Female","88"
"Male","237"
"Limbu",""
"Female","140"
"Male","147"
"Magar",""
"Female","293"
"Male","263"
"Maithili",""
"Female","538"
"Male","1071"
"Majhi",""
"Female","22"
"Male","22"
"Nepali",""
"Female","20385"
"Male","21526"
"Newar",""
"Female","15098"
"Male","15190"
"Not Reported",""
"Female","5"
"Male","8"
"Others",""
"Female","104"
"Male","115"
"Rai",""
"Female","333"
"Male","320"
"Rajbanshi",""
"Female","11"
"Male","15"
"Sherpa",""
"Female","45"
"Male","37"
"Sunuwar",""
"Female","70"
"Male","60"
"Tamang",""
"Female","2566"
"Male","2638"
"Thami",""
"Female","13"
"Male","17"
"Tharu",""
"Female","138"
"Male","228"
"Thulung",""
"Female","9"
"Male","9"
"Uranw/Urau",""
"Female","7"
"Male","12"
"Urdu",""
"Female","41"
"Male","131"
"Yakkha",""
"Female","5"
"Male","6"
