"Population by disability type","Number"
"Blind/low vision",""
"Female","12"
"Male","11"
"","23"
"Deaf/hard of hearing",""
"Female","3"
"Male","4"
"","7"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","4"
"Male","4"
"","8"
"Multiple disable",""
"Female","2"
"Male","2"
"","4"
"No disability",""
"Female","1001"
"Male","835"
"","1836"
"Physical",""
"Female","7"
"Male","10"
"","17"
"Speech problem",""
"Female","1"
"Male","1"
"","2"
