"Population by Educational Attainment","Number"
"Beginners",""
"Female","66"
"Male","93"
"Graduate and Equivalent",""
"Female","46"
"Male","220"
"Intermediate and Equivalent",""
"Female","175"
"Male","453"
"Level not Stated",""
"Female","76"
"Male","117"
"Lower Secondary (Class 6-8)",""
"Female","1071"
"Male","1656"
"Non Formal Education",""
"Female","24"
"Male","27"
"Others",""
"Female","3"
"Male","11"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","60"
"Primary Education (1-5 Class)",""
"Female","3024"
"Male","3571"
"Secondary Level (Class 9-10)",""
"Female","578"
"Male","1377"
"SLC and Equivalent",""
"Female","229"
"Male","523"
