"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","62"
"","112"
"Deaf/hard of hearing",""
"Female","39"
"Male","42"
"","81"
"Deaf-Blind",""
"Female","11"
"Male","5"
"","16"
"Intellectual disable",""
"Female","9"
"Male","13"
"","22"
"Mental disable",""
"Female","28"
"Male","28"
"","56"
"Multiple disable",""
"Female","28"
"Male","37"
"","65"
"No disability",""
"Female","26406"
"Male","27787"
"","54193"
"Physical",""
"Female","81"
"Male","114"
"","195"
"Speech problem",""
"Female","26"
"Male","34"
"","60"
