"Population by Educational Attainment","Number"
"Beginners",""
"Female","161"
"Male","217"
"Graduate and Equivalent",""
"Female","16"
"Male","49"
"Intermediate and Equivalent",""
"Female","77"
"Male","102"
"Level not Stated",""
"Female","27"
"Male","20"
"Lower Secondary (Class 6-8)",""
"Female","1006"
"Male","1022"
"Non Formal Education",""
"Female","387"
"Male","337"
"Others",""
"Female","1"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","38"
"Primary Education (1-5 Class)",""
"Female","2565"
"Male","2735"
"Secondary Level (Class 9-10)",""
"Female","379"
"Male","453"
"SLC and Equivalent",""
"Female","200"
"Male","271"
