"Population by disability type","Number"
"Blind/low vision",""
"Female","98"
"Male","108"
"","206"
"Deaf/hard of hearing",""
"Female","72"
"Male","122"
"","194"
"Deaf-Blind",""
"Female","11"
"Male","10"
"","21"
"Intellectual disable",""
"Female","19"
"Male","24"
"","43"
"Mental disable",""
"Female","45"
"Male","49"
"","94"
"Multiple disable",""
"Female","39"
"Male","56"
"","95"
"No disability",""
"Female","28503"
"Male","25657"
"","54160"
"Physical",""
"Female","186"
"Male","224"
"","410"
"Speech problem",""
"Female","72"
"Male","85"
"","157"
