"Population by Educational Attainment","Number"
"Beginners",""
"Female","368"
"Male","403"
"Graduate and Equivalent",""
"Female","12"
"Male","50"
"Intermediate and Equivalent",""
"Female","124"
"Male","166"
"Level not Stated",""
"Female","19"
"Male","21"
"Lower Secondary (Class 6-8)",""
"Female","889"
"Male","1059"
"Non Formal Education",""
"Female","415"
"Male","330"
"Others",""
"Female","5"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","4"
"Primary Education (1-5 Class)",""
"Female","3043"
"Male","3115"
"Secondary Level (Class 9-10)",""
"Female","300"
"Male","481"
"SLC and Equivalent",""
"Female","118"
"Male","158"
