"Population by disability type","Number"
"Blind/low vision",""
"Female","58"
"Male","47"
"","105"
"Deaf/hard of hearing",""
"Female","61"
"Male","66"
"","127"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","2"
"Male","1"
"","3"
"Mental disable",""
"Female","3"
"Male","6"
"","9"
"Multiple disable",""
"Female","34"
"Male","25"
"","59"
"No disability",""
"Female","4866"
"Male","4685"
"","9551"
"Physical",""
"Female","80"
"Male","98"
"","178"
"Speech problem",""
"Female","33"
"Male","34"
"","67"
