"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","18"
"","41"
"Deaf/hard of hearing",""
"Female","26"
"Male","29"
"","55"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","3"
"Male","11"
"","14"
"Mental disable",""
"Female","12"
"Male","4"
"","16"
"Multiple disable",""
"Female","9"
"Male","12"
"","21"
"No disability",""
"Female","6964"
"Male","5105"
"","12069"
"Physical",""
"Female","33"
"Male","67"
"","100"
"Speech problem",""
"Female","11"
"Male","11"
"","22"
