"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","67"
"","126"
"Deaf/hard of hearing",""
"Female","36"
"Male","72"
"","108"
"Deaf-Blind",""
"Female","9"
"Male","12"
"","21"
"Intellectual disable",""
"Female","8"
"Male","11"
"","19"
"Mental disable",""
"Female","20"
"Male","19"
"","39"
"Multiple disable",""
"Female","21"
"Male","19"
"","40"
"No disability",""
"Female","11624"
"Male","10570"
"","22194"
"Physical",""
"Female","142"
"Male","200"
"","342"
"Speech problem",""
"Female","15"
"Male","20"
"","35"
