"Population by Educational Attainment","Number"
"Beginners",""
"Female","448"
"Male","447"
"","895"
"Graduate and Equivalent",""
"Female","13"
"Male","104"
"","117"
"Intermediate and Equivalent",""
"Female","251"
"Male","431"
"","682"
"Level not Stated",""
"Female","6"
"Male","8"
"","14"
"Lower Secondary (Class 6-8)",""
"Female","1058"
"Male","1553"
"","2611"
"Non Formal Education",""
"Female","435"
"Male","252"
"","687"
"Others",""
"Female","3"
"Male","1"
"","4"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","27"
"","31"
"Primary Education (1-5 Class)",""
"Female","2674"
"Male","3446"
"","6120"
"Secondary Level (Class 9-10)",""
"Female","483"
"Male","892"
"","1375"
"SLC and Equivalent",""
"Female","276"
"Male","516"
"","792"
