"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","7"
"Male","7"
"Badhaee",""
"Female","6"
"Male","7"
"Bangali",""
"Female","12"
"Male","15"
"Bantar/Sardar",""
"Female","1232"
"Male","1242"
"Baraee",""
"Female","31"
"Male","20"
"Bhote",""
"Female","11"
"Male","8"
"Bin",""
"Female","112"
"Male","107"
"Brahman - Hill",""
"Female","1210"
"Male","1016"
"Brahman - Tarai",""
"Female","18"
"Male","14"
"Chamar/ Harijan/ Ram",""
"Female","62"
"Male","75"
"Chhetri",""
"Female","797"
"Male","655"
"Damai/Dholi",""
"Female","41"
"Male","37"
"Dhanuk",""
"Female","47"
"Male","60"
"Dom",""
"Female","11"
"Male","13"
"Dusadh/ Pasawan/ Pasi",""
"Female","6"
"Male","6"
"Gaderi/Bhedihar",""
"Female","12"
"Male","12"
"Gharti/Bhujel",""
"Female","16"
"Male","15"
"Gurung",""
"Female","7"
"Male","5"
"Hajam/Thakur",""
"Female","123"
"Male","110"
"Halwai",""
"Female","40"
"Male","34"
"Janajati Others",""
"Female","5"
"Male","7"
"Jhangad/ Dhagar",""
"Female","200"
"Male","182"
"Kahar",""
"Female","60"
"Male","52"
"Kalwar",""
"Female","33"
"Male","37"
"Kami",""
"Female","267"
"Male","245"
"Kathabaniyan",""
"Female","16"
"Male","19"
"Khatwe",""
"Female","12"
"Male","18"
"Khawas",""
"Female","401"
"Male","370"
"Koiri/Kushwaha",""
"Female","22"
"Male","20"
"Kulung",""
"Female","15"
"Male","10"
"Kumal",""
"Female","19"
"Male","22"
"Kumhar",""
"Female","10"
"Male","19"
"Kurmi",""
"Female","13"
"Male","14"
"Limbu",""
"Female","26"
"Male","16"
"Magar",""
"Female","190"
"Male","175"
"Majhi",""
"Female","7"
"Male","5"
"Mali",""
"Female","8"
"Male","9"
"Mallaha",""
"Female","62"
"Male","73"
"Marwadi",""
"Female","30"
"Male","32"
"Musahar",""
"Female","687"
"Male","726"
"Musalman",""
"Female","116"
"Male","143"
"Newar",""
"Female","150"
"Male","131"
"Others",""
"Female","50"
"Male","42"
"Punjabi/Sikh",""
"Female","22"
"Male","23"
"Rai",""
"Female","89"
"Male","73"
"Rajbansi",""
"Female","405"
"Male","423"
"Sanyasi/Dasnami",""
"Female","123"
"Male","87"
"Sarbaria",""
"Female","7"
"Male","14"
"Sarki",""
"Female","38"
"Male","33"
"Satar/ Santhal",""
"Female","16"
"Male","19"
"Sherpa",""
"Female","6"
"Male","5"
"Sudhi",""
"Female","55"
"Male","61"
"Sunuwar",""
"Female","10"
"Male","7"
"Tamang",""
"Female","149"
"Male","121"
"Teli",""
"Female","225"
"Male","235"
"Terai Others",""
"Female","31"
"Male","23"
"Thakuri",""
"Female","11"
"Male","6"
"Tharu",""
"Female","9579"
"Male","8661"
"Undefined Others",""
"Female","29"
"Male","28"
"Yadav",""
"Female","37"
"Male","41"
