"Population by Single Year of Age","Number"
"0",""
"Female","227"
"Male","247"
"1",""
"Female","229"
"Male","228"
"10",""
"Female","389"
"Male","370"
"11",""
"Female","346"
"Male","342"
"12",""
"Female","405"
"Male","423"
"13",""
"Female","379"
"Male","341"
"14",""
"Female","397"
"Male","334"
"15",""
"Female","381"
"Male","392"
"16",""
"Female","380"
"Male","318"
"17",""
"Female","370"
"Male","329"
"18",""
"Female","382"
"Male","307"
"19",""
"Female","281"
"Male","186"
"2",""
"Female","237"
"Male","234"
"20",""
"Female","332"
"Male","217"
"21",""
"Female","250"
"Male","134"
"22",""
"Female","334"
"Male","195"
"23",""
"Female","241"
"Male","154"
"24",""
"Female","234"
"Male","253"
"25",""
"Female","309"
"Male","208"
"26",""
"Female","220"
"Male","163"
"27",""
"Female","237"
"Male","214"
"28",""
"Female","258"
"Male","166"
"29",""
"Female","127"
"Male","146"
"3",""
"Female","264"
"Male","235"
"30",""
"Female","327"
"Male","217"
"31",""
"Female","119"
"Male","108"
"32",""
"Female","228"
"Male","154"
"33",""
"Female","144"
"Male","107"
"34",""
"Female","149"
"Male","132"
"35",""
"Female","344"
"Male","227"
"36",""
"Female","171"
"Male","125"
"37",""
"Female","135"
"Male","129"
"38",""
"Female","167"
"Male","147"
"39",""
"Female","138"
"Male","109"
"4",""
"Female","296"
"Male","312"
"40",""
"Female","355"
"Male","250"
"41",""
"Female","101"
"Male","117"
"42",""
"Female","179"
"Male","188"
"43",""
"Female","113"
"Male","102"
"44",""
"Female","104"
"Male","106"
"45",""
"Female","264"
"Male","238"
"46",""
"Female","124"
"Male","95"
"47",""
"Female","111"
"Male","108"
"48",""
"Female","144"
"Male","128"
"49",""
"Female","116"
"Male","114"
"5",""
"Female","327"
"Male","283"
"50",""
"Female","243"
"Male","239"
"51",""
"Female","102"
"Male","97"
"52",""
"Female","128"
"Male","145"
"53",""
"Female","80"
"Male","86"
"54",""
"Female","76"
"Male","55"
"55",""
"Female","177"
"Male","140"
"56",""
"Female","82"
"Male","90"
"57",""
"Female","89"
"Male","95"
"58",""
"Female","98"
"Male","83"
"59",""
"Female","75"
"Male","73"
"6",""
"Female","270"
"Male","327"
"60",""
"Female","192"
"Male","159"
"61",""
"Female","96"
"Male","57"
"62",""
"Female","95"
"Male","93"
"63",""
"Female","62"
"Male","60"
"64",""
"Female","71"
"Male","45"
"65",""
"Female","146"
"Male","99"
"66",""
"Female","56"
"Male","48"
"67",""
"Female","91"
"Male","76"
"68",""
"Female","66"
"Male","82"
"69",""
"Female","36"
"Male","44"
"7",""
"Female","315"
"Male","331"
"70",""
"Female","145"
"Male","98"
"71",""
"Female","33"
"Male","43"
"72",""
"Female","78"
"Male","45"
"73",""
"Female","37"
"Male","45"
"74",""
"Female","36"
"Male","47"
"75",""
"Female","83"
"Male","67"
"76",""
"Female","31"
"Male","31"
"77",""
"Female","42"
"Male","35"
"78",""
"Female","57"
"Male","36"
"79",""
"Female","24"
"Male","22"
"8",""
"Female","294"
"Male","326"
"80",""
"Female","61"
"Male","44"
"81",""
"Female","14"
"Male","15"
"82",""
"Female","17"
"Male","22"
"83",""
"Female","18"
"Male","17"
"84",""
"Female","21"
"Male","13"
"85",""
"Female","73"
"Male","81"
"9",""
"Female","333"
"Male","293"
