"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","7"
"Male","7"
"Brahman - Hill",""
"Female","3225"
"Male","2875"
"Brahman - Tarai",""
"Female","30"
"Male","22"
"Chhetri",""
"Female","6089"
"Male","5528"
"Damai/Dholi",""
"Female","933"
"Male","870"
"Danuwar",""
"Female","7229"
"Male","6084"
"Dhanuk",""
"Female","21"
"Male","21"
"Dom",""
"Female","22"
"Male","30"
"Gharti/Bhujel",""
"Female","229"
"Male","239"
"Gurung",""
"Female","106"
"Male","89"
"Hajam/Thakur",""
"Female","28"
"Male","27"
"Halwai",""
"Female","38"
"Male","39"
"Hayu",""
"Female","16"
"Male","14"
"Kalwar",""
"Female","66"
"Male","67"
"Kami",""
"Female","1546"
"Male","1433"
"Kayastha",""
"Female","28"
"Male","25"
"Limbu",""
"Female","12"
"Male","14"
"Magar",""
"Female","3585"
"Male","3296"
"Majhi",""
"Female","802"
"Male","735"
"Mallaha",""
"Female","13"
"Male","4"
"Musahar",""
"Female","931"
"Male","918"
"Musalman",""
"Female","20"
"Male","33"
"Newar",""
"Female","770"
"Male","749"
"Others",""
"Female","54"
"Male","45"
"Rai",""
"Female","337"
"Male","342"
"Rajput",""
"Female","15"
"Male","12"
"Sanyasi/Dasnami",""
"Female","138"
"Male","122"
"Sarki",""
"Female","488"
"Male","446"
"Sonar",""
"Female","12"
"Male","12"
"Sudhi",""
"Female","307"
"Male","293"
"Sunuwar",""
"Female","1834"
"Male","1703"
"Tamang",""
"Female","4841"
"Male","4408"
"Tatma/Tatwa",""
"Female","9"
"Male","6"
"Teli",""
"Female","99"
"Male","84"
"Terai Others",""
"Female","29"
"Male","29"
"Thakuri",""
"Female","229"
"Male","207"
"Thami",""
"Female","95"
"Male","102"
"Tharu",""
"Female","22"
"Male","27"
"Undefined Others",""
"Female","15"
"Male","12"
"Yadav",""
"Female","28"
"Male","35"
