"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","51"
"","83"
"Deaf/hard of hearing",""
"Female","31"
"Male","23"
"","54"
"Deaf-Blind",""
"Female","1"
"Male","5"
"","6"
"Intellectual disable",""
"Female","4"
"Male","11"
"","15"
"Mental disable",""
"Female","7"
"Male","11"
"","18"
"Multiple disable",""
"Female","18"
"Male","17"
"","35"
"No disability",""
"Female","13123"
"Male","12779"
"","25902"
"Physical",""
"Female","48"
"Male","70"
"","118"
"Speech problem",""
"Female","13"
"Male","19"
"","32"
