"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","46"
"Male","51"
"Badi",""
"Female","7"
"Male","7"
"Bahing",""
"Female","79"
"Male","71"
"Bangali",""
"Female","25"
"Male","43"
"Bantar/Sardar",""
"Female","1842"
"Male","1828"
"Baraee",""
"Female","244"
"Male","260"
"Brahman - Hill",""
"Female","1087"
"Male","918"
"Brahman - Tarai",""
"Female","107"
"Male","95"
"Chamar/ Harijan/ Ram",""
"Female","1341"
"Male","1194"
"Chhetri",""
"Female","931"
"Male","847"
"Damai/Dholi",""
"Female","106"
"Male","87"
"Dhanuk",""
"Female","713"
"Male","707"
"Dhimal",""
"Female","12"
"Male","14"
"Dhobi",""
"Female","32"
"Male","30"
"Dom",""
"Female","34"
"Male","54"
"Dusadh/ Pasawan/ Pasi",""
"Female","403"
"Male","440"
"Foreigner",""
"Female","33"
"Male","40"
"Gharti/Bhujel",""
"Female","166"
"Male","173"
"Gurung",""
"Female","7"
"Male","5"
"Hajam/Thakur",""
"Female","326"
"Male","334"
"Halwai",""
"Female","914"
"Male","909"
"Kalar",""
"Female","15"
"Male","22"
"Kalwar",""
"Female","15"
"Male","16"
"Kami",""
"Female","328"
"Male","322"
"Kathabaniyan",""
"Female","513"
"Male","535"
"Kayastha",""
"Female","60"
"Male","44"
"Khatwe",""
"Female","951"
"Male","968"
"Koiri/Kushwaha",""
"Female","491"
"Male","524"
"Kumal",""
"Female","81"
"Male","88"
"Kumhar",""
"Female","280"
"Male","276"
"Limbu",""
"Female","34"
"Male","22"
"Lohar",""
"Female","39"
"Male","46"
"Magar",""
"Female","243"
"Male","213"
"Mali",""
"Female","48"
"Male","48"
"Mallaha",""
"Female","502"
"Male","508"
"Marwadi",""
"Female","31"
"Male","22"
"Musahar",""
"Female","1848"
"Male","1873"
"Musalman",""
"Female","3639"
"Male","3434"
"Newar",""
"Female","557"
"Male","498"
"Nuniya",""
"Female","33"
"Male","32"
"Others",""
"Female","43"
"Male","33"
"Punjabi/Sikh",""
"Female","44"
"Male","38"
"Rai",""
"Female","96"
"Male","76"
"Rajbhar",""
"Female","34"
"Male","33"
"Rajdhob",""
"Female","723"
"Male","774"
"Rajput",""
"Female","129"
"Male","117"
"Sanyasi/Dasnami",""
"Female","60"
"Male","63"
"Sarbaria",""
"Female","25"
"Male","30"
"Sarki",""
"Female","18"
"Male","17"
"Sonar",""
"Female","36"
"Male","25"
"Sudhi",""
"Female","317"
"Male","317"
"Sunuwar",""
"Female","8"
"Male","13"
"Tamang",""
"Female","96"
"Male","106"
"Tatma/Tatwa",""
"Female","363"
"Male","319"
"Teli",""
"Female","1422"
"Male","1387"
"Terai Others",""
"Female","163"
"Male","146"
"Tharu",""
"Female","3540"
"Male","2912"
"Undefined Others",""
"Female","104"
"Male","94"
"Yadav",""
"Female","1951"
"Male","1855"
