"Population by Single Year of Age","Number"
"0",""
"Female","151"
"Male","173"
"1",""
"Female","154"
"Male","176"
"10",""
"Female","258"
"Male","268"
"11",""
"Female","255"
"Male","220"
"12",""
"Female","304"
"Male","313"
"13",""
"Female","275"
"Male","228"
"14",""
"Female","269"
"Male","254"
"15",""
"Female","228"
"Male","269"
"16",""
"Female","280"
"Male","237"
"17",""
"Female","296"
"Male","253"
"18",""
"Female","266"
"Male","201"
"19",""
"Female","195"
"Male","135"
"2",""
"Female","182"
"Male","209"
"20",""
"Female","172"
"Male","126"
"21",""
"Female","217"
"Male","117"
"22",""
"Female","209"
"Male","94"
"23",""
"Female","165"
"Male","68"
"24",""
"Female","167"
"Male","72"
"25",""
"Female","200"
"Male","85"
"26",""
"Female","147"
"Male","69"
"27",""
"Female","148"
"Male","61"
"28",""
"Female","162"
"Male","61"
"29",""
"Female","95"
"Male","47"
"3",""
"Female","167"
"Male","178"
"30",""
"Female","195"
"Male","66"
"31",""
"Female","82"
"Male","36"
"32",""
"Female","131"
"Male","65"
"33",""
"Female","98"
"Male","39"
"34",""
"Female","119"
"Male","56"
"35",""
"Female","186"
"Male","71"
"36",""
"Female","90"
"Male","42"
"37",""
"Female","112"
"Male","51"
"38",""
"Female","89"
"Male","37"
"39",""
"Female","86"
"Male","43"
"4",""
"Female","218"
"Male","232"
"40",""
"Female","182"
"Male","103"
"41",""
"Female","78"
"Male","54"
"42",""
"Female","113"
"Male","57"
"43",""
"Female","76"
"Male","52"
"44",""
"Female","75"
"Male","45"
"45",""
"Female","150"
"Male","102"
"46",""
"Female","86"
"Male","52"
"47",""
"Female","86"
"Male","58"
"48",""
"Female","87"
"Male","60"
"49",""
"Female","95"
"Male","59"
"5",""
"Female","204"
"Male","227"
"50",""
"Female","178"
"Male","110"
"51",""
"Female","77"
"Male","71"
"52",""
"Female","83"
"Male","76"
"53",""
"Female","76"
"Male","56"
"54",""
"Female","68"
"Male","69"
"55",""
"Female","103"
"Male","88"
"56",""
"Female","83"
"Male","61"
"57",""
"Female","94"
"Male","69"
"58",""
"Female","81"
"Male","77"
"59",""
"Female","55"
"Male","53"
"6",""
"Female","194"
"Male","190"
"60",""
"Female","134"
"Male","83"
"61",""
"Female","74"
"Male","78"
"62",""
"Female","76"
"Male","74"
"63",""
"Female","56"
"Male","62"
"64",""
"Female","60"
"Male","47"
"65",""
"Female","83"
"Male","86"
"66",""
"Female","40"
"Male","46"
"67",""
"Female","63"
"Male","72"
"68",""
"Female","52"
"Male","56"
"69",""
"Female","34"
"Male","47"
"7",""
"Female","265"
"Male","237"
"70",""
"Female","101"
"Male","79"
"71",""
"Female","34"
"Male","42"
"72",""
"Female","34"
"Male","51"
"73",""
"Female","35"
"Male","33"
"74",""
"Female","20"
"Male","27"
"75",""
"Female","51"
"Male","45"
"76",""
"Female","23"
"Male","25"
"77",""
"Female","27"
"Male","35"
"78",""
"Female","20"
"Male","26"
"79",""
"Female","19"
"Male","15"
"8",""
"Female","224"
"Male","239"
"80",""
"Female","37"
"Male","27"
"81",""
"Female","15"
"Male","19"
"82",""
"Female","15"
"Male","17"
"83",""
"Female","10"
"Male","12"
"84",""
"Female","25"
"Male","17"
"85",""
"Female","46"
"Male","37"
"9",""
"Female","236"
"Male","209"
