"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","33"
"Male","24"
"Brahman - Hill",""
"Female","4692"
"Male","4141"
"Brahman - Tarai",""
"Female","10"
"Male","2"
"Chhetri",""
"Female","9848"
"Male","8278"
"Dalit Others",""
"Female","983"
"Male","881"
"Damai/Dholi",""
"Female","424"
"Male","397"
"Kami",""
"Female","1175"
"Male","998"
"Kathabaniyan",""
"Female","13"
"Male","16"
"Kumal",""
"Female","8"
"Male","9"
"Lohar",""
"Female","130"
"Male","132"
"Magar",""
"Female","303"
"Male","305"
"Musalman",""
"Female","20"
"Male","31"
"Newar",""
"Female","7"
"Male","9"
"Others",""
"Female","51"
"Male","36"
"Rajput",""
"Female","18"
"Male","13"
"Sanyasi/Dasnami",""
"Female","197"
"Male","147"
"Sarki",""
"Female","336"
"Male","288"
"Tamang",""
"Female","11"
"Male","14"
"Thakuri",""
"Female","724"
"Male","597"
"Tharu",""
"Female","5926"
"Male","5607"
