"Population by Educational Attainment","Number"
"Beginners",""
"Female","76"
"Male","96"
"Graduate and Equivalent",""
"Female","27"
"Male","130"
"Intermediate and Equivalent",""
"Female","151"
"Male","289"
"Level not Stated",""
"Female","61"
"Male","60"
"Lower Secondary (Class 6-8)",""
"Female","680"
"Male","908"
"Non Formal Education",""
"Female","104"
"Male","111"
"Others",""
"Female","2"
"Male","10"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","32"
"Primary Education (1-5 Class)",""
"Female","1497"
"Male","1947"
"Secondary Level (Class 9-10)",""
"Female","280"
"Male","509"
"SLC and Equivalent",""
"Female","236"
"Male","518"
