"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","38"
"","76"
"Deaf/hard of hearing",""
"Female","27"
"Male","38"
"","65"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","17"
"Male","22"
"","39"
"Mental disable",""
"Female","24"
"Male","19"
"","43"
"Multiple disable",""
"Female","14"
"Male","24"
"","38"
"No disability",""
"Female","12121"
"Male","8723"
"","20844"
"Physical",""
"Female","79"
"Male","107"
"","186"
"Speech problem",""
"Female","30"
"Male","39"
"","69"
