"Population by disability type","Number"
"Blind/low vision",""
"Female","547"
"Male","458"
"","1005"
"Deaf/hard of hearing",""
"Female","385"
"Male","422"
"","807"
"Deaf-Blind",""
"Female","76"
"Male","66"
"","142"
"Intellectual disable",""
"Female","60"
"Male","44"
"","104"
"Mental disable",""
"Female","158"
"Male","140"
"","298"
"Multiple disable",""
"Female","182"
"Male","195"
"","377"
"No disability",""
"Female","96718"
"Male","82833"
"","179551"
"Physical",""
"Female","970"
"Male","1294"
"","2264"
"Speech problem",""
"Female","249"
"Male","302"
"","551"
