"Population by Educational Attainment","Number"
"Beginners",""
"Female","290"
"Male","337"
"","627"
"Graduate and Equivalent",""
"Female","9"
"Male","59"
"","68"
"Intermediate and Equivalent",""
"Female","55"
"Male","145"
"","200"
"Level not Stated",""
"Female","16"
"Male","15"
"","31"
"Lower Secondary (Class 6-8)",""
"Female","935"
"Male","1181"
"","2116"
"Non Formal Education",""
"Female","297"
"Male","156"
"","453"
"Others",""
"Female","5"
"Male","6"
"","11"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","6"
"","9"
"Primary Education (1-5 Class)",""
"Female","2193"
"Male","2713"
"","4906"
"Secondary Level (Class 9-10)",""
"Female","389"
"Male","523"
"","912"
"SLC and Equivalent",""
"Female","215"
"Male","355"
"","570"
