"Population by disability type","Number"
"Blind/low vision",""
"Female","89"
"Male","73"
"","162"
"Deaf/hard of hearing",""
"Female","71"
"Male","58"
"","129"
"Deaf-Blind",""
"Female","4"
"Male","9"
"","13"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","20"
"Male","36"
"","56"
"Multiple disable",""
"Female","24"
"Male","21"
"","45"
"No disability",""
"Female","8496"
"Male","7764"
"","16260"
"Physical",""
"Female","261"
"Male","289"
"","550"
"Speech problem",""
"Female","20"
"Male","30"
"","50"
