"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","10181"
"Male","8098"
"Brahman - Tarai",""
"Female","5"
"Male","8"
"Chhantyal/Chhantel",""
"Female","98"
"Male","81"
"Chhetri",""
"Female","8034"
"Male","6166"
"Dalit Others",""
"Female","39"
"Male","44"
"Damai/Dholi",""
"Female","1595"
"Male","1128"
"Gaine",""
"Female","44"
"Male","38"
"Gharti/Bhujel",""
"Female","12"
"Male","5"
"Gurung",""
"Female","68"
"Male","76"
"Hajam/Thakur",""
"Female","6"
"Male","8"
"Halwai",""
"Female","8"
"Male","10"
"Kami",""
"Female","1668"
"Male","1297"
"Kathabaniyan",""
"Female","6"
"Male","12"
"Kumal",""
"Female","35"
"Male","28"
"Magar",""
"Female","5037"
"Male","3950"
"Majhi",""
"Female","91"
"Male","58"
"Musalman",""
"Female","168"
"Male","182"
"Newar",""
"Female","1082"
"Male","927"
"Others",""
"Female","55"
"Male","53"
"Rai",""
"Female","33"
"Male","39"
"Sanyasi/Dasnami",""
"Female","39"
"Male","38"
"Sarki",""
"Female","3333"
"Male","2701"
"Sonar",""
"Female","20"
"Male","22"
"Sunuwar",""
"Female","5"
"Male","7"
"Tamang",""
"Female","70"
"Male","81"
"Teli",""
"Female","16"
"Male","30"
"Terai Others",""
"Female","10"
"Male","14"
"Thakali",""
"Female","57"
"Male","57"
"Thakuri",""
"Female","436"
"Male","327"
"Tharu",""
"Female","19"
"Male","49"
"Yadav",""
"Female","5"
"Male","14"
