"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","78"
"","158"
"Deaf/hard of hearing",""
"Female","90"
"Male","92"
"","182"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","13"
"Male","8"
"","21"
"Mental disable",""
"Female","22"
"Male","32"
"","54"
"Multiple disable",""
"Female","66"
"Male","62"
"","128"
"No disability",""
"Female","17251"
"Male","13865"
"","31116"
"Physical",""
"Female","102"
"Male","144"
"","246"
"Speech problem",""
"Female","77"
"Male","63"
"","140"
