"Population by disability type","Number"
"Blind/low vision",""
"Female","105"
"Male","99"
"","204"
"Deaf/hard of hearing",""
"Female","94"
"Male","71"
"","165"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","2"
"Male","4"
"","6"
"Mental disable",""
"Female","18"
"Male","26"
"","44"
"Multiple disable",""
"Female","30"
"Male","35"
"","65"
"No disability",""
"Female","14497"
"Male","12059"
"","26556"
"Physical",""
"Female","159"
"Male","193"
"","352"
"Speech problem",""
"Female","31"
"Male","36"
"","67"
