"Population by Educational Attainment","Number"
"Beginners",""
"Female","361"
"Male","389"
"","750"
"Graduate and Equivalent",""
"Female","12"
"Male","69"
"","81"
"Intermediate and Equivalent",""
"Female","136"
"Male","212"
"","348"
"Level not Stated",""
"Female","27"
"Male","30"
"","57"
"Lower Secondary (Class 6-8)",""
"Female","2016"
"Male","1795"
"","3811"
"Non Formal Education",""
"Female","145"
"Male","181"
"","326"
"Others",""
"Female","3"
"Male","4"
"","7"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","13"
"","16"
"Primary Education (1-5 Class)",""
"Female","3950"
"Male","4204"
"","8154"
"Secondary Level (Class 9-10)",""
"Female","766"
"Male","775"
"","1541"
"SLC and Equivalent",""
"Female","523"
"Male","579"
"","1102"
