"Population by disability type","Number"
"Blind/low vision",""
"Female","135"
"Male","130"
"","265"
"Deaf/hard of hearing",""
"Female","152"
"Male","137"
"","289"
"Deaf-Blind",""
"Female","10"
"Male","6"
"","16"
"Intellectual disable",""
"Female","8"
"Male","19"
"","27"
"Mental disable",""
"Female","40"
"Male","31"
"","71"
"Multiple disable",""
"Female","57"
"Male","49"
"","106"
"No disability",""
"Female","23182"
"Male","19153"
"","42335"
"Physical",""
"Female","244"
"Male","288"
"","532"
"Speech problem",""
"Female","55"
"Male","69"
"","124"
