"Population by Educational Attainment","Number"
"Beginners",""
"Female","503"
"Male","543"
"","1046"
"Graduate and Equivalent",""
"Female","57"
"Male","162"
"","219"
"Intermediate and Equivalent",""
"Female","326"
"Male","481"
"","807"
"Level not Stated",""
"Female","62"
"Male","53"
"","115"
"Lower Secondary (Class 6-8)",""
"Female","3653"
"Male","3348"
"","7001"
"Non Formal Education",""
"Female","896"
"Male","478"
"","1374"
"Others",""
"Female","5"
"Male","9"
"","14"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","36"
"","46"
"Primary Education (1-5 Class)",""
"Female","6579"
"Male","6573"
"","13152"
"Secondary Level (Class 9-10)",""
"Female","1371"
"Male","1536"
"","2907"
"SLC and Equivalent",""
"Female","754"
"Male","906"
"","1660"
