"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","33"
"","61"
"Deaf/hard of hearing",""
"Female","47"
"Male","29"
"","76"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","10"
"Male","18"
"","28"
"Mental disable",""
"Female","14"
"Male","18"
"","32"
"Multiple disable",""
"Female","16"
"Male","20"
"","36"
"No disability",""
"Female","10564"
"Male","7711"
"","18275"
"Physical",""
"Female","83"
"Male","123"
"","206"
"Speech problem",""
"Female","28"
"Male","27"
"","55"
