"Population by Educational Attainment","Number"
"Beginners",""
"Female","166"
"Male","199"
"","365"
"Graduate and Equivalent",""
"Female","29"
"Male","83"
"","112"
"Intermediate and Equivalent",""
"Female","225"
"Male","265"
"","490"
"Level not Stated",""
"Female","15"
"Male","5"
"","20"
"Lower Secondary (Class 6-8)",""
"Female","1580"
"Male","1197"
"","2777"
"Non Formal Education",""
"Female","756"
"Male","468"
"","1224"
"Others",""
"Female","0"
"Male","1"
"","1"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","34"
"","42"
"Primary Education (1-5 Class)",""
"Female","2878"
"Male","2761"
"","5639"
"Secondary Level (Class 9-10)",""
"Female","770"
"Male","594"
"","1364"
"SLC and Equivalent",""
"Female","525"
"Male","482"
"","1007"
