"Population by Single Year of Age","Number"
"0",""
"Female","206"
"Male","204"
"1",""
"Female","179"
"Male","207"
"10",""
"Female","292"
"Male","288"
"11",""
"Female","280"
"Male","238"
"12",""
"Female","303"
"Male","291"
"13",""
"Female","271"
"Male","316"
"14",""
"Female","295"
"Male","273"
"15",""
"Female","282"
"Male","236"
"16",""
"Female","257"
"Male","259"
"17",""
"Female","274"
"Male","236"
"18",""
"Female","316"
"Male","261"
"19",""
"Female","192"
"Male","147"
"2",""
"Female","217"
"Male","224"
"20",""
"Female","250"
"Male","143"
"21",""
"Female","153"
"Male","116"
"22",""
"Female","212"
"Male","152"
"23",""
"Female","164"
"Male","89"
"24",""
"Female","153"
"Male","93"
"25",""
"Female","236"
"Male","110"
"26",""
"Female","146"
"Male","86"
"27",""
"Female","143"
"Male","96"
"28",""
"Female","149"
"Male","92"
"29",""
"Female","78"
"Male","60"
"3",""
"Female","203"
"Male","193"
"30",""
"Female","202"
"Male","117"
"31",""
"Female","63"
"Male","57"
"32",""
"Female","115"
"Male","87"
"33",""
"Female","88"
"Male","63"
"34",""
"Female","82"
"Male","61"
"35",""
"Female","163"
"Male","124"
"36",""
"Female","86"
"Male","54"
"37",""
"Female","73"
"Male","42"
"38",""
"Female","113"
"Male","96"
"39",""
"Female","86"
"Male","58"
"4",""
"Female","245"
"Male","251"
"40",""
"Female","199"
"Male","142"
"41",""
"Female","71"
"Male","41"
"42",""
"Female","105"
"Male","105"
"43",""
"Female","78"
"Male","66"
"44",""
"Female","84"
"Male","64"
"45",""
"Female","167"
"Male","120"
"46",""
"Female","83"
"Male","72"
"47",""
"Female","81"
"Male","69"
"48",""
"Female","107"
"Male","112"
"49",""
"Female","66"
"Male","68"
"5",""
"Female","302"
"Male","269"
"50",""
"Female","150"
"Male","159"
"51",""
"Female","58"
"Male","58"
"52",""
"Female","102"
"Male","75"
"53",""
"Female","65"
"Male","63"
"54",""
"Female","57"
"Male","68"
"55",""
"Female","118"
"Male","83"
"56",""
"Female","70"
"Male","53"
"57",""
"Female","53"
"Male","58"
"58",""
"Female","81"
"Male","72"
"59",""
"Female","50"
"Male","53"
"6",""
"Female","265"
"Male","246"
"60",""
"Female","118"
"Male","118"
"61",""
"Female","59"
"Male","68"
"62",""
"Female","62"
"Male","53"
"63",""
"Female","52"
"Male","35"
"64",""
"Female","31"
"Male","43"
"65",""
"Female","77"
"Male","82"
"66",""
"Female","50"
"Male","41"
"67",""
"Female","66"
"Male","58"
"68",""
"Female","53"
"Male","68"
"69",""
"Female","21"
"Male","42"
"7",""
"Female","283"
"Male","275"
"70",""
"Female","65"
"Male","55"
"71",""
"Female","29"
"Male","32"
"72",""
"Female","33"
"Male","33"
"73",""
"Female","20"
"Male","33"
"74",""
"Female","10"
"Male","29"
"75",""
"Female","28"
"Male","37"
"76",""
"Female","26"
"Male","27"
"77",""
"Female","28"
"Male","30"
"78",""
"Female","37"
"Male","32"
"79",""
"Female","12"
"Male","13"
"8",""
"Female","307"
"Male","272"
"80",""
"Female","24"
"Male","25"
"81",""
"Female","16"
"Male","13"
"82",""
"Female","7"
"Male","14"
"83",""
"Female","5"
"Male","6"
"84",""
"Female","4"
"Male","7"
"85",""
"Female","45"
"Male","37"
"9",""
"Female","271"
"Male","243"
