"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","82"
"","147"
"Deaf/hard of hearing",""
"Female","99"
"Male","118"
"","217"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","14"
"Male","23"
"","37"
"Mental disable",""
"Female","51"
"Male","52"
"","103"
"Multiple disable",""
"Female","77"
"Male","68"
"","145"
"No disability",""
"Female","31179"
"Male","27717"
"","58896"
"Physical",""
"Female","191"
"Male","243"
"","434"
"Speech problem",""
"Female","99"
"Male","121"
"","220"
