"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","7"
"Male","13"
"","20"
"Bangali",""
"Female","28"
"Male","34"
"","62"
"Bantaba",""
"Female","20"
"Male","26"
"","46"
"Baraee",""
"Female","134"
"Male","132"
"","266"
"Bhote",""
"Female","28"
"Male","36"
"","64"
"Bin",""
"Female","1042"
"Male","1104"
"","2146"
"Brahman - Hill",""
"Female","80"
"Male","79"
"","159"
"Brahman - Tarai",""
"Female","59"
"Male","67"
"","126"
"Chamar/ Harijan/ Ram",""
"Female","1148"
"Male","1173"
"","2321"
"Chhetri",""
"Female","12"
"Male","13"
"","25"
"Damai/Dholi",""
"Female","52"
"Male","40"
"","92"
"Dhanuk",""
"Female","14"
"Male","13"
"","27"
"Dhobi",""
"Female","448"
"Male","485"
"","933"
"Dhunia",""
"Female","43"
"Male","38"
"","81"
"Dom",""
"Female","34"
"Male","42"
"","76"
"Dusadh/ Pasawan/ Pasi",""
"Female","1007"
"Male","1085"
"","2092"
"Hajam/Thakur",""
"Female","273"
"Male","290"
"","563"
"Halkhor",""
"Female","11"
"Male","5"
"","16"
"Kahar",""
"Female","136"
"Male","181"
"","317"
"Kalwar",""
"Female","973"
"Male","1045"
"","2018"
"Kami",""
"Female","9"
"Male","5"
"","14"
"Kanu",""
"Female","1183"
"Male","1271"
"","2454"
"Kathabaniyan",""
"Female","46"
"Male","53"
"","99"
"Kayastha",""
"Female","51"
"Male","45"
"","96"
"Koiri/Kushwaha",""
"Female","2684"
"Male","2772"
"","5456"
"Kumal",""
"Female","66"
"Male","78"
"","144"
"Kumhar",""
"Female","495"
"Male","513"
"","1008"
"Kurmi",""
"Female","940"
"Male","977"
"","1917"
"Lohar",""
"Female","552"
"Male","555"
"","1107"
"Mali",""
"Female","81"
"Male","101"
"","182"
"Mallaha",""
"Female","394"
"Male","408"
"","802"
"Musahar",""
"Female","221"
"Male","276"
"","497"
"Musalman",""
"Female","4126"
"Male","4195"
"","8321"
"Natuwa",""
"Female","21"
"Male","21"
"","42"
"Nuniya",""
"Female","834"
"Male","921"
"","1755"
"Others",""
"Female","43"
"Male","12"
"","55"
"Rajput",""
"Female","18"
"Male","20"
"","38"
"Sanyasi/Dasnami",""
"Female","74"
"Male","76"
"","150"
"Sonar",""
"Female","129"
"Male","150"
"","279"
"Sunuwar",""
"Female","6"
"Male","5"
"","11"
"Tatma/Tatwa",""
"Female","510"
"Male","558"
"","1068"
"Teli",""
"Female","1139"
"Male","1218"
"","2357"
"Terai Others",""
"Female","241"
"Male","259"
"","500"
"Yadav",""
"Female","4124"
"Male","4604"
"","8728"
"Yakkha",""
"Female","19"
"Male","21"
"","40"
