"Population by Educational Attainment","Number"
"Beginners",""
"Female","312"
"Male","326"
"Graduate and Equivalent",""
"Female","26"
"Male","79"
"Intermediate and Equivalent",""
"Female","187"
"Male","265"
"Level not Stated",""
"Female","30"
"Male","33"
"Lower Secondary (Class 6-8)",""
"Female","1500"
"Male","1784"
"Non Formal Education",""
"Female","541"
"Male","496"
"Others",""
"Female","3"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","30"
"Primary Education (1-5 Class)",""
"Female","3549"
"Male","4059"
"Secondary Level (Class 9-10)",""
"Female","630"
"Male","800"
"SLC and Equivalent",""
"Female","368"
"Male","495"
