"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","31"
"","63"
"Deaf/hard of hearing",""
"Female","24"
"Male","34"
"","58"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","10"
"Male","9"
"","19"
"Multiple disable",""
"Female","14"
"Male","19"
"","33"
"No disability",""
"Female","12318"
"Male","10398"
"","22716"
"Physical",""
"Female","73"
"Male","90"
"","163"
"Speech problem",""
"Female","20"
"Male","27"
"","47"
