"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","21"
"","55"
"Deaf/hard of hearing",""
"Female","33"
"Male","37"
"","70"
"Deaf-Blind",""
"Female","5"
"Male","7"
"","12"
"Intellectual disable",""
"Female","6"
"Male","7"
"","13"
"Mental disable",""
"Female","1"
"Male","0"
"","1"
"Multiple disable",""
"Female","13"
"Male","8"
"","21"
"No disability",""
"Female","4018"
"Male","4054"
"","8072"
"Physical",""
"Female","41"
"Male","46"
"","87"
"Speech problem",""
"Female","23"
"Male","16"
"","39"
